"","Date","Time","Values"
"1","2020/03/14","12:00:00","109"
"2","2020/03/14","13:00:00","30"
"3","2020/03/14","14:00:00","10"
"4","2020/03/14","15:00:00","0"
"5","2020/03/14","16:00:00","5"
"6","2020/03/14","17:00:00","29"
"7","2020/03/14","18:00:00","6"
"8","2020/03/14","19:00:00","39"
"9","2020/03/14","20:00:00","45"
"10","2020/03/14","21:00:00","0"
"11","2020/03/14","22:00:00","10"
"12","2020/03/14","23:00:00","10"
"13","2020/03/15","00:00:00","4"
"14","2020/03/15","01:00:00","34"
"15","2020/03/15","02:00:00","0"
"16","2020/03/15","03:00:00","0"
"17","2020/03/15","04:00:00","0"
"18","2020/03/15","05:00:00","1"
"19","2020/03/15","06:00:00","35"
"20","2020/03/15","07:00:00","0"
"21","2020/03/15","08:00:00","0"
"22","2020/03/15","09:00:00","4"
"23","2020/03/15","10:00:00","97"
"24","2020/03/15","11:00:00","0"
"25","2020/03/15","12:00:00","0"
"26","2020/03/15","13:00:00","0"
"27","2020/03/15","14:00:00","84"
"28","2020/03/15","15:00:00","0"
"29","2020/03/15","16:00:00","0"
"30","2020/03/15","17:00:00","0"
"31","2020/03/15","18:00:00","0"
"32","2020/03/15","19:00:00","0"
"33","2020/03/15","20:00:00","47"
"34","2020/03/15","21:00:00","23"
"35","2020/03/15","22:00:00","0"
"36","2020/03/15","23:00:00","0"
"37","2020/03/16","00:00:00","0"
"38","2020/03/16","01:00:00","0"
"39","2020/03/16","02:00:00","0"
"40","2020/03/16","03:00:00","29"
"41","2020/03/16","04:00:00","81"
"42","2020/03/16","05:00:00","0"
"43","2020/03/16","06:00:00","0"
"44","2020/03/16","07:00:00","11"
"45","2020/03/16","08:00:00","61"
"46","2020/03/16","09:00:00","3"
"47","2020/03/16","10:00:00","36"
"48","2020/03/16","11:00:00","14"
"49","2020/03/16","12:00:00","0"
"50","2020/03/16","13:00:00","12"
"51","2020/03/16","14:00:00","0"
"52","2020/03/16","15:00:00","2"
"53","2020/03/16","16:00:00","0"
"54","2020/03/16","17:00:00","0"
"55","2020/03/16","18:00:00","0"
"56","2020/03/16","19:00:00","76"
"57","2020/03/16","20:00:00","60"
"58","2020/03/16","21:00:00","0"
"59","2020/03/16","22:00:00","0"
"60","2020/03/16","23:00:00","0"
"61","2020/03/17","00:00:00","0"
"62","2020/03/17","01:00:00","11"
"63","2020/03/17","02:00:00","103"
"64","2020/03/17","03:00:00","16"
"65","2020/03/17","04:00:00","0"
"66","2020/03/17","05:00:00","0"
"67","2020/03/17","06:00:00","0"
"68","2020/03/17","07:00:00","33"
"69","2020/03/17","08:00:00","0"
"70","2020/03/17","09:00:00","0"
"71","2020/03/17","10:00:00","15"
"72","2020/03/17","11:00:00","0"
"73","2020/03/17","12:00:00","0"
"74","2020/03/17","13:00:00","0"
"75","2020/03/17","14:00:00","85"
"76","2020/03/17","15:00:00","19"
"77","2020/03/17","16:00:00","0"
"78","2020/03/17","17:00:00","0"
"79","2020/03/17","18:00:00","0"
"80","2020/03/17","19:00:00","0"
"81","2020/03/17","20:00:00","56"
"82","2020/03/17","21:00:00","80"
"83","2020/03/17","22:00:00","15"
"84","2020/03/17","23:00:00","0"
"85","2020/03/18","00:00:00","0"
"86","2020/03/18","01:00:00","0"
"87","2020/03/18","02:00:00","0"
"88","2020/03/18","03:00:00","81"
"89","2020/03/18","04:00:00","88"
"90","2020/03/18","05:00:00","19"
"91","2020/03/18","06:00:00","0"
"92","2020/03/18","07:00:00","0"
"93","2020/03/18","08:00:00","66"
"94","2020/03/18","09:00:00","1"
"95","2020/03/18","10:00:00","15"
"96","2020/03/18","11:00:00","0"
"97","2020/03/18","12:00:00","2"
"98","2020/03/18","13:00:00","119"
"99","2020/03/18","14:00:00","48"
"100","2020/03/18","15:00:00","0"
"101","2020/03/18","16:00:00","0"
"102","2020/03/18","17:00:00","58"
"103","2020/03/18","18:00:00","54"
"104","2020/03/18","19:00:00","0"
"105","2020/03/18","20:00:00","57"
"106","2020/03/18","21:00:00","12"
"107","2020/03/18","22:00:00","0"
"108","2020/03/18","23:00:00","0"
"109","2020/03/19","00:00:00","69"
"110","2020/03/19","01:00:00","71"
"111","2020/03/19","02:00:00","26"
"112","2020/03/19","03:00:00","55"
"113","2020/03/19","04:00:00","20"
"114","2020/03/19","05:00:00","46"
"115","2020/03/19","06:00:00","21"
"116","2020/03/19","07:00:00","0"
"117","2020/03/19","08:00:00","38"
"118","2020/03/19","09:00:00","27"
"119","2020/03/19","10:00:00","0"
"120","2020/03/19","11:00:00","35"
"121","2020/03/19","12:00:00","45"
